Open,Close
43,43.139999
43.349998,42.950001
43.150002,43.52
43.549999,43.459999
43.689999,43.389999
43.52,43.43
43.470001,43.5
43.32,43.959999
43.869999,43.66
43.700001,43.57
43.490002,43.52
43.549999,43.830002
43.720001,43.970001
44.07,44.009998
44.119999,44.450001
44.48,44.360001
44.450001,44.360001
44.43,43.82
43.799999,43.939999
44.07,43.91
43.970001,44.169998
44.18,44.439999
44.490002,44.459999
44.59,44.220001
44.189999,44.360001
44.32,44.43
44.41,44.080002
44.310001,44.240002
44.360001,44.119999
44.150002,44.509998
44.619999,44.560001
44.66,45.02
45.02,45.27
45.110001,44.98
45.02,44.950001
44.700001,44.619999
44.52,43.82
44.099998,43.91
43.990002,43.950001
44.189999,44.439999
44.57,44.389999
44.639999,44.23
44.060001,43.490002
43.529999,43.32
42.25,42.07
42.07,42.040001
41.91,41.799999
41.779999,41.27
41.139999,41.34
41.369999,41.18
41.09,40.959999
41,41.52
41.689999,41.450001
41.450001,41.18
41.27,40.990002
41.07,41.029999
40.98,41.48
41.48,41.450001
41.470001,41.880001
41.849998,42.18
42.369999,42.650002
42.650002,42.279999
42.360001,42.349998
42.34,43.200001
43.23,43.27
43.360001,43.27
43.310001,43.369999
43.41,43.439999
43.48,43.48
43.470001,42.939999
42.860001,42.84
42.889999,43.529999
43.5,43.91
44.040001,43.509998
43.599998,43.599998
43.099998,43.450001
43.41,43.200001
43.279999,42.790001
42.700001,42.639999
42.41,42.209999
42.119999,42.68
43.169998,43.650002
43.650002,43.619999
43.639999,43.549999
43.43,43.369999
43.27,43.150002
43.099998,43.16
43.25,43.549999
43.34,43.240002
43.240002,43.240002
43.110001,43.16
43.16,43.119999
43.009998,43.200001
43.23,43.509998
43.369999,44.02
43.91,44.099998
44.23,44.189999
44.279999,44.459999
44.509998,44.490002
44.52,45.02
45,45.110001
45.080002,45.290001
45.48,45.240002
45.16,45
45.049999,44.849998
44.34,44.580002
44.759998,44.5
44.549999,44.57
44.57,44.73
44.73,44.900002
44.869999,44.93
44.759998,44.77
44.84,45.130001
45.200001,45.560001
45.630001,45.57
45.43,45.360001
45.560001,46.18
46.25,45.68
46.130001,46.330002
46.360001,46.66
46.619999,46.790001
46.619999,46.709999
46.619999,47.459999
47.540001,47.66
47.68,47.66
47.639999,47.389999
47.59,47.490002
47.380001,47.380001
47.389999,47.290001
47.299999,47.439999
47.52,47.68
47.439999,47.900002
47.720001,47.689999
47.77,47.700001
47.849998,48.060001
47.900002,47.630001
47.689999,47.860001
48,47.66
47.77,48.029999
47.740002,48.150002
48.169998,48.630001
48.549999,48.5
48.619999,48.34
48.419998,48.099998
48.150002,48.66
48.299999,48.709999
48.650002,49.23
49.330002,49
49.07,49.639999
49.700001,49.93
49.84,49.98
49.82,49.07
49.18,49.540001
49.419998,49.369999
49.470001,49.48
49.610001,49.939999
49.950001,50.369999
50.330002,50.639999
50.759998,50.900002
51,50.759998
50.189999,50.540001
50.73,51.310001
51.27,51.43
51.48,51.23
51.23,51.169998
51.389999,51.080002
50.990002,50.459999
50.549999,51.07
50.419998,50.119999
50.099998,48.830002
48.779999,48.82
48.669998,48.669998
48.740002,48.869999
48.860001,49.41
49.32,49.049999
49.150002,49.639999
49.59,49.470001
49.470001,49.360001
49.299999,48.59
48.18,48.279999
47.959999,47.709999
47.139999,46.560001
46.16,46.189999
46.380001,46.09
45.970001,45.82
45.799999,46.139999
46.02,46.049999
45.869999,45.610001
45.639999,45.669998
45.75,46.150002
46.360001,45.91
45.560001,45.360001
45.73,45.200001
45.23,45.919998
45.799999,45.509998
45.75,45.57
45.610001,45.900002
45.810001,44.790001
44.549999,43.189999
43.5,43.779999
43.459999,43.57
43.830002,43.91
44.189999,44.599998
44.709999,44.48
44.529999,44.779999
44.98,44.470001
44.349998,44.48
