Date,Open,High,Low,Close,Adj Close,Volume
04/09/2012,71.5,71.5,70.400002,70.870003,62.269939,3916400
05/09/2012,71.379997,72.050003,71.110001,71.919998,63.192505,4946900
06/09/2012,72.370003,73.269997,72.370003,72.82,63.983288,4358800
07/09/2012,72.870003,73.029999,72.550003,72.889999,64.044792,3080400
10/09/2012,72.309998,72.32,70.809998,71.080002,62.454441,8354500
11/09/2012,71.190002,71.669998,71.150002,71.269997,62.621372,3951300
12/09/2012,71.43,71.68,70.800003,70.959999,62.349003,4400800
13/09/2012,70.68,71.989998,70.440002,71.580002,62.893757,5314100
14/09/2012,72.019997,72.43,71,71.279999,62.63018,6530200
17/09/2012,70.769997,70.82,69.889999,69.919998,61.435223,6917200
18/09/2012,69.860001,70.459999,69.559998,70.449997,61.90089,5490300
19/09/2012,70.739998,70.739998,69.879997,69.900002,61.417633,5193400
20/09/2012,69.349998,69.860001,69.029999,69.849998,61.373692,4875100
21/09/2012,70.089996,70.150002,69.470001,69.970001,61.479137,13161000
24/09/2012,69.449997,70.18,69.209999,70.029999,61.531868,5037900
25/09/2012,70.290001,70.489998,69.379997,69.379997,60.960732,4085900
26/09/2012,69.339996,70.510002,69.309998,70.25,61.725166,5256400
27/09/2012,70.400002,70.550003,69.709999,70.099998,61.593376,4147700
28/09/2012,69.75,70.050003,69.18,69.599998,61.154057,4057500
01/10/2012,69.860001,70.669998,69.800003,70.010002,61.514294,4012100
02/10/2012,70.110001,70.300003,69.199997,69.529999,61.092533,3077900
03/10/2012,69.900002,70,69.360001,69.860001,61.382473,3106400
04/10/2012,70.239998,70.379997,69.720001,69.940002,61.452766,2818300
05/10/2012,70.260002,71.25,70.209999,70.889999,62.287483,3741600
08/10/2012,70.720001,71.190002,70.550003,70.57,62.006313,2838800
09/10/2012,70.699997,71.209999,70.360001,70.639999,62.067837,4116600
10/10/2012,70.800003,71.300003,70.230003,70.339996,61.80423,3642600
11/10/2012,70.900002,71.550003,70.800003,70.830002,62.234783,3183200
12/10/2012,71.080002,72.239998,71,71.849998,63.130993,4345600
15/10/2012,71.849998,72.279999,71.68,72.25,63.482475,3858000
16/10/2012,72.760002,73.709999,72.5,73.480003,64.56321,4799300
17/10/2012,73.739998,73.900002,72.629997,73.629997,64.694992,6061500
18/10/2012,73.519997,74.260002,73.239998,74.260002,65.248543,3414200
19/10/2012,74.029999,74.230003,73.589996,74.010002,65.028893,5407000
22/10/2012,73.800003,74.150002,73.25,73.699997,64.7565,4419800
23/10/2012,72.989998,73.230003,72.610001,72.82,63.983288,4544900
24/10/2012,74.949997,75,72.25,72.709999,63.886635,8346600
25/10/2012,73.050003,73.089996,70.650002,71.540001,62.858624,8191500
26/10/2012,71.160004,71.580002,70.550003,71.110001,62.480808,4389000
31/10/2012,71.349998,71.449997,70.269997,70.440002,61.892101,3778700
01/11/2012,70.589996,71.559998,70.440002,70.790001,62.199646,3992800
02/11/2012,71,71.360001,69.959999,70.050003,61.549435,4400400
05/11/2012,69.870003,70.599998,69.849998,70.410004,61.865765,3833000
06/11/2012,70.470001,72.440002,70.470001,72.019997,63.280365,4923700
07/11/2012,70.690002,70.769997,69.300003,70.110001,61.980824,6675400
08/11/2012,70.129997,71.32,70.089996,70.980003,62.749935,7363500
09/11/2012,70.760002,73.300003,70.599998,73.25,64.756737,10269800
12/11/2012,73.410004,74.18,73.279999,73.690002,65.145729,6497600
13/11/2012,73.019997,74.25,72.839996,73.360001,64.853989,7293400
14/11/2012,73.339996,73.650002,71.120003,71.290001,63.024002,6063100
15/11/2012,71.220001,71.989998,70.779999,71.040001,62.802994,3928100
16/11/2012,71.190002,71.220001,70.290001,70.769997,62.564289,4856300
19/11/2012,71.489998,72.080002,71.080002,71.959999,63.616322,3475700
20/11/2012,71.870003,72.800003,71.790001,72.540001,64.129059,3161000
21/11/2012,72.540001,73.860001,72.389999,73.150002,64.668327,3119800
23/11/2012,73.349998,73.75,73.089996,73.739998,65.189926,1579200
26/11/2012,73.400002,74.300003,73.199997,74.269997,65.658463,3709100
27/11/2012,74.120003,74.540001,73.599998,74.489998,65.852959,5353500
28/11/2012,74,74.239998,73.150002,74.089996,65.499321,4245900
29/11/2012,74.360001,74.860001,73.839996,74.120003,65.525871,2998900
30/11/2012,74.360001,74.660004,73.860001,74.279999,65.667313,3863400
03/12/2012,74.410004,74.489998,73.57,74.019997,65.437439,3721600
04/12/2012,73.889999,74.709999,73.730003,74.050003,65.463974,3827700
05/12/2012,73.940002,74.449997,73.18,73.870003,65.304848,3818800
06/12/2012,73.800003,73.989998,72.93,73.980003,65.402107,3895400
07/12/2012,74.089996,74.660004,73.610001,74.639999,65.985565,3718000
10/12/2012,74.620003,75.580002,74.43,75.529999,66.772377,5323800
11/12/2012,75.620003,76.050003,75.5,75.82,67.028748,5960300
12/12/2012,75.839996,76.040001,75.260002,75.470001,66.719322,5191300
13/12/2012,75.419998,75.489998,74.099998,74.32,65.70266,4977600
14/12/2012,74.330002,74.660004,73.870003,74.019997,65.437439,4209300
17/12/2012,74.199997,74.660004,73.529999,74.650002,65.994392,5537800
18/12/2012,74.300003,75.699997,74.139999,75.519997,66.763535,5767500
19/12/2012,75.610001,76.190002,75.300003,75.510002,66.754715,6075200
20/12/2012,75.75,76.239998,75.510002,76.199997,67.364677,4599300
21/12/2012,75.080002,76.220001,74.580002,76.169998,67.338165,6831500
24/12/2012,75.889999,76.559998,75.529999,75.970001,67.161362,1931900
26/12/2012,75.970001,76.300003,75.75,76.019997,67.205544,2710300
27/12/2012,76.010002,76.300003,75.010002,75.830002,67.037598,4041400
28/12/2012,75.209999,75.739998,74.559998,74.690002,66.029785,2970400
31/12/2012,74.610001,75.410004,74,75.360001,66.622093,4939000
02/01/2013,76.550003,77.330002,76.449997,77.07,68.13382,5036400
03/01/2013,76.989998,77.980003,76.370003,77.470001,68.487434,3987000
04/01/2013,77.790001,78.019997,77.440002,77.690002,68.681923,3431700
07/01/2013,77.540001,77.690002,75.339996,76.129997,67.302795,7172600
08/01/2013,75.239998,75.809998,73.110001,74.129997,65.534698,20268100
